day,month,year,name,bio,url
15,3,1790,Ludwig Immanuel Magnus,German mathematician and academic (d. 1861),https://en.wikipedia.org/wiki/Ludwig_Immanuel_Magnus
15,3,1868,Grace Chisholm Young,English mathematician (d. 1944),https://en.wikipedia.org/wiki/Grace_Chisholm_Young
16,3,1789,Georg Ohm,German physicist and mathematician (d. 1854),https://en.wikipedia.org/wiki/Georg_Ohm
16,3,1821,Eduard Heine,German mathematician and academic (d. 1881),https://en.wikipedia.org/wiki/Eduard_Heine
16,3,1846,Gösta Mittag-Leffler,Swedish mathematician and academic (d. 1927),https://en.wikipedia.org/wiki/G%C3%B6sta_Mittag-Leffler
16,3,1915,Kunihiko Kodaira,Japanese mathematician (d. 1997),https://en.wikipedia.org/wiki/Kunihiko_Kodaira
18,3,1640,Philippe de La Hire,French mathematician and astronomer (d. 1719),https://en.wikipedia.org/wiki/Philippe_de_La_Hire
18,3,1690,Christian Goldbach,Prussian-German mathematician and academic (d. 1764),https://en.wikipedia.org/wiki/Christian_Goldbach
18,3,1870,Agnes Sime Baxter,Canadian mathematician (d. 1917),https://en.wikipedia.org/wiki/Agnes_Sime_Baxter
18,3,1930,James J. Andrews,American mathematician and academic (d. 1998),https://en.wikipedia.org/wiki/James_J._Andrews_(mathematician)
18,3,1935,Ole Barndorff-Nielsen,Danish mathematician and statistician,https://en.wikipedia.org/wiki/Ole_Barndorff-Nielsen
19,3,1914,Leonidas Alaoglu,Canadian-American mathematician and theorist (d. 1981),https://en.wikipedia.org/wiki/Leonidas_Alaoglu
20,3,1834,Charles William Eliot,American mathematician and academic (d. 1926),https://en.wikipedia.org/wiki/Charles_William_Eliot
20,3,1884,Philipp Frank,"Austrian-American physicist, mathematician, and philosopher (d. 1966)",https://en.wikipedia.org/wiki/Philipp_Frank
20,3,1921,Alfréd Rényi,Hungarian mathematician and theorist (d. 1970),https://en.wikipedia.org/wiki/Alfr%C3%A9d_R%C3%A9nyi
20,3,1938,Sergei Novikov,"Russian mathematician and academic, winner of the Fields Medal",https://en.wikipedia.org/wiki/Sergei_Novikov_(mathematician)
20,3,1968,Ken Ono,Japanese-American mathematician,https://en.wikipedia.org/wiki/Ken_Ono
21,3,1768,Joseph Fourier,French mathematician and physicist (d. 1830),https://en.wikipedia.org/wiki/Joseph_Fourier
21,3,1884,George David Birkhoff,American mathematician (d. 1944),https://en.wikipedia.org/wiki/George_David_Birkhoff
21,3,1896,Friedrich Waismann,"Austrian mathematician, physicist, and philosopher from the Vienna Circle (d. 1959)",https://en.wikipedia.org/wiki/Friedrich_Waismann
22,3,1394,Ulugh Beg,Persian astronomer and mathematician (d. 1449),https://en.wikipedia.org/wiki/Ulugh_Beg
22,3,1857,Paul Doumer,"French mathematician, journalist, and politician, 14th President of France (d. 1932)",https://en.wikipedia.org/wiki/Paul_Doumer
22,3,1917,Irving Kaplansky,Canadian-American mathematician and academic (d. 2006),https://en.wikipedia.org/wiki/Irving_Kaplansky
22,3,1946,Rudy Rucker,"American mathematician, computer scientist, and author",https://en.wikipedia.org/wiki/Rudy_Rucker
23,3,1749,Pierre-Simon Laplace,French mathematician and astronomer (d. 1827),https://en.wikipedia.org/wiki/Pierre-Simon_Laplace
23,3,1754,Jurij Vega,"Slovene mathematician, physicist and artillery officer (d. 1802)",https://en.wikipedia.org/wiki/Jurij_Vega
23,3,1842,Susan Jane Cunningham,American mathematician (d. 1921),https://en.wikipedia.org/wiki/Susan_Jane_Cunningham
23,3,1882,Emmy Noether,"Jewish German-American mathematician, physicist and academic (d. 1935)",https://en.wikipedia.org/wiki/Emmy_Noether
23,3,1934,Ludvig Faddeev,Russian mathematician and physicist (d. 2017),https://en.wikipedia.org/wiki/Ludvig_Faddeev
24,3,1809,Joseph Liouville,French mathematician and academic (d. 1882),https://en.wikipedia.org/wiki/Joseph_Liouville
24,3,1835,Joseph Stefan,"Austrian physicist, mathematician, and poet (d. 1893)",https://en.wikipedia.org/wiki/Joseph_Stefan
24,3,1892,Marston Morse,American mathematician and academic (d. 1977),https://en.wikipedia.org/wiki/Marston_Morse
